code,description,marca,price_distributor,price_distributor_with_ipi,price_final,price_final_with_ipi,priceresale,priceresalewithipi
EA023C3I,CABO ECG COM RABICHOS 03 VIAS TIPO GARRA IEC COMPATIVEL PHILIPS 12 PINOS,,280.31,283.95,280.31,283.95,,
EA041S3I,CABO ECG COM RABICHOS 03 VIAS TIPO SNAP IEC COMPATIVEL BIONET,,100.28,101.59,100.28,101.59,,
EA011C5A,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA AHA COMPATIVEL HELLIGE,,138.98,140.78,138.98,140.78,,
EA414C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA AHA/IEC COMPATIVEL COMEN,,263.33,266.76,292.59,296.40,,
EA041C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL BIONET,,205.58,208.25,205.58,208.25,,
EA010C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL DATEX,,163.27,165.39,163.27,165.39,,
EA020C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL DIXTAL OMNI MINDRAY,,206.47,209.15,206.47,209.15,,
OEM-E1118A,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL DIXTAL OMNI MINDRAY,,176.44,178.74,196.05,198.60,,
EA007C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL GE DASH 4000,,223.00,225.90,278.75,282.38,,
EA050C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL MINDRAY BENEVIEW,,236.93,240.01,263.26,266.68,,
EA023C5I,CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL PHILIPS 12 PINOS,,236.18,239.25,262.42,265.83,,
EC020-3AI,CABO ECG TRONCO 03 VIAS,,91.38,92.57,91.38,92.57,,
EC057-3AI,CABO ECG TRONCO 03 VIAS AHA / IEC COMPATIVEL SIEMENS DRAGER,,211.12,213.87,211.12,213.87,,
EJ051-3AI,CABO ECG TRONCO 03 VIAS COMPATIVEL MINDRAY T8,,240.77,243.90,240.77,243.90,,
EE007-5AI,CABO ECG TRONCO 05 VIAS COMPATIVEL GE,,179.01,181.34,198.90,201.49,,
EJ051-5AI,CABO ECG TRONCO 05 VIAS COMPATIVEL MINDRAY T8,,281.02,284.68,281.02,284.68,,
OMAA0001,CABO ECG TRONCO 05 VIAS OMNI 800,,96.20,97.45,96.20,97.45,,
EP055-6I,CABO ECG TRONCO 06 VIAS IEC COMPATIVEL NIHON KOHDEN,,265.97,269.43,265.97,269.43,,
VA018BCI,CABO ELETROCARDIOGRAFO COM RABICHO BANANA AHA/IEC - PHILIPS,,329.21,333.49,329.21,333.49,,
VA001BNI,CABO ELETROCARDIOGRAFO COM RABICHO BANANA IEC - NIHON BIOCARE BIONET EDAN,,238.70,241.80,298.37,302.25,,
